coin,tf,signal,group,n,mean_next,stdev_next,p50_next,p90_next,p99_next,p99_9_next
ETH,1w,prev+2sig,no,182,0.4288601265866299,8.583385524162342,-0.15775206648959705,9.19251794295026,24.527716611151426,41.364613345048696
ETH,1w,prev+2sig,yes,6,1.2325979198767654,5.995344098080629,2.773511605517087,6.356855429803165,7.509722294610425,7.625008981091151
ETH,1w,prev+3sig,base,188,0.4545113327554639,8.502456014178787,-0.05809942390866407,9.022849750816304,24.187393906469676,41.27492440570295
ETH,1w,prev+3sig,no,186,0.5178133177925114,8.519116870035687,-0.008361204013374035,9.079405814860953,24.300834808030313,41.30482071881834
ETH,1w,prev+3sig,yes,2,-5.432573275689956,4.696570346157897,-5.432573275689956,-2.775791883619636,-2.1780160704038143,-2.118238489082232
ETH,1w,prev-2sig,base,188,0.4545113327554639,8.502456014178787,-0.05809942390866407,9.022849750816304,24.187393906469676,41.27492440570295
ETH,1w,prev-2sig,no,186,0.4371613058195005,8.459943785519469,-0.05809942390866407,8.800810885117993,24.300834808030313,41.30482071881834
ETH,1w,prev-2sig,yes,2,2.06806383780005,16.514407809844187,2.06806383780005,11.410023637496774,13.511964592428537,13.722158687921713
ETH,1w,prev-3sig,base,188,0.4545113327554639,8.502456014178787,-0.05809942390866407,9.022849750816304,24.187393906469676,41.27492440570295
ETH,1w,prev-3sig,no,186,0.4371613058195005,8.459943785519469,-0.05809942390866407,8.800810885117993,24.300834808030313,41.30482071881834
ETH,1w,prev-3sig,yes,2,2.06806383780005,16.514407809844187,2.06806383780005,11.410023637496774,13.511964592428537,13.722158687921713
ETH,1w,up5,base,188,0.4545113327554639,8.502456014178787,-0.05809942390866407,9.022849750816304,24.187393906469676,41.27492440570295
ETH,1w,up5,no,180,0.5309143437926044,8.546389974539945,-0.008361204013374035,8.966293686771646,24.641157512712063,41.39450965816408
ETH,1w,up5,yes,8,-1.2645564155801885,7.741969149725931,-2.52036724056669,7.2823965993321025,12.378269193305917,12.887856452703303
ETH,1w,vol_top1,base,188,0.4545113327554639,8.502456014178787,-0.05809942390866407,9.022849750816304,24.187393906469676,41.27492440570295
ETH,1w,vol_top1,no,186,0.39502314953371104,8.490469653686421,-0.05809942390866407,8.800810885117993,24.300834808030313,41.30482071881834
ETH,1w,vol_top1,yes,2,5.986912372378484,10.972319063357437,5.986912372378484,12.19379334441246,13.590341563120106,13.729996384990871
ETH,1w,vol_top10,base,188,0.4545113327554639,8.502456014178787,-0.05809942390866407,9.022849750816304,24.187393906469676,41.27492440570295
ETH,1w,vol_top10,no,169,0.5100395165000167,8.59959937796011,0.0,8.99457171879398,25.26508247129516,41.558939380297886
ETH,1w,vol_top10,yes,19,-0.03939724897239838,7.779175721844854,-0.3665709982666021,8.969414152497022,16.290417461562846,16.793191153771364
ETH,1w,volspike_top1,base,188,0.4545113327554639,8.502456014178787,-0.05809942390866407,9.022849750816304,24.187393906469676,41.27492440570295
ETH,1w,volspike_top1,no,186,0.4453995474260903,8.543642957414784,-0.05809942390866407,9.079405814860953,24.300834808030313,41.30482071881834
ETH,1w,volspike_top1,yes,2,1.3019073683872062,3.6397420781673753,1.301907368387206,3.3608564125809406,3.8241199475245304,3.8704463010188896
HYPE,1w,prev+2sig,base,87,2.072999232425346,14.955729650439897,-0.18465326220763467,18.956281512238043,43.87265272467685,58.2927748887457
HYPE,1w,prev+2sig,no,84,1.8780211639293334,15.156917271159822,-1.1437037444533116,19.332242077286207,44.431572188400466,58.34866683511806
HYPE,1w,prev+2sig,yes,3,7.532385150313686,6.147164565204986,5.073309504704948,12.63738780520317,14.339305422815269,14.509497184576478
HYPE,1w,prev+3sig,base,87,2.072999232425346,14.955729650439897,-0.18465326220763467,18.956281512238043,43.87265272467685,58.2927748887457
HYPE,1w,prev+3sig,no,86,2.0622731936639154,15.043110699109778,-0.652080546423478,19.081601700587424,44.05895921258481,58.31140553753657
HYPE,1w,prev+3sig,yes,1,2.9954385659083815,,2.9954385659083815,2.9954385659083815,2.9954385659083815,2.9954385659083815
HYPE,1w,prev-2sig,base,87,2.072999232425346,14.955729650439897,-0.18465326220763467,18.956281512238043,43.87265272467685,58.2927748887457
HYPE,1w,prev-2sig,no,86,1.7074266017272755,14.647236846156508,-0.652080546423478,17.90491973425895,44.05895921258481,58.31140553753657
HYPE,1w,prev-2sig,yes,1,33.51224547245941,,33.51224547245941,33.51224547245941,33.51224547245941,33.51224547245941
HYPE,1w,prev-3sig,base,87,2.072999232425346,14.955729650439897,-0.18465326220763467,18.956281512238043,43.87265272467685,58.2927748887457
HYPE,1w,prev-3sig,no,87,2.072999232425346,14.955729650439897,-0.18465326220763467,18.956281512238043,43.87265272467685,58.2927748887457
HYPE,1w,up5,base,87,2.072999232425346,14.955729650439897,-0.18465326220763467,18.956281512238043,43.87265272467685,58.2927748887457
HYPE,1w,up5,no,81,1.3763247960762055,15.048744647597674,-1.1678996582673018,17.22056300438457,44.990491652124085,58.40455878149042
HYPE,1w,up5,yes,6,11.478104123138737,10.475915654632777,14.860673950098548,20.44801030929608,21.113837209561623,21.180419899588177
HYPE,1w,vol_top1,base,87,2.072999232425346,14.955729650439897,-0.18465326220763467,18.956281512238043,43.87265272467685,58.2927748887457
HYPE,1w,vol_top1,no,86,1.9281689051241548,14.98195382430495,-0.652080546423478,19.081601700587424,44.05895921258481,58.31140553753657
HYPE,1w,vol_top1,yes,1,14.528407380327724,,14.528407380327724,14.528407380327724,14.528407380327724,14.528407380327724
HYPE,1w,vol_top10,base,87,2.072999232425346,14.955729650439897,-0.18465326220763467,18.956281512238043,43.87265272467685,58.2927748887457
HYPE,1w,vol_top10,no,78,1.73088885396588,15.070310893838329,-0.652080546423478,18.83096132388864,45.549411115847704,58.460450727862785
HYPE,1w,vol_top10,yes,9,5.037955845740713,14.404445630820215,2.9954385659083815,19.477688593386503,32.10878978455212,33.371899903668684
HYPE,1w,volspike_top1,base,87,2.072999232425346,14.955729650439897,-0.18465326220763467,18.956281512238043,43.87265272467685,58.2927748887457
HYPE,1w,volspike_top1,no,86,2.0071462150696693,15.030754533278762,-0.652080546423478,19.081601700587424,44.05895921258481,58.31140553753657
HYPE,1w,volspike_top1,yes,1,7.7363587250135035,,7.7363587250135035,7.7363587250135035,7.7363587250135035,7.7363587250135035
LIT,1w,prev+2sig,base,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,prev+2sig,no,31,2.5643949933977472,18.953947041816726,0.6562586349820432,23.87694961546756,53.62765880062547,57.78569288218867
LIT,1w,prev+2sig,yes,2,-16.931598276903472,7.3272508197137824,-16.931598276903472,-12.786679283244027,-11.854072509670651,-11.760811832313314
LIT,1w,prev+3sig,base,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,prev+3sig,no,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,prev-2sig,base,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,prev-2sig,no,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,prev-3sig,base,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,prev-3sig,no,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,up5,base,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,up5,no,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,vol_top1,base,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,vol_top1,no,32,0.6067058691846496,18.759327193635333,-0.4482925128702353,21.227050139556667,53.473657538345385,57.770292755960696
LIT,1w,vol_top1,yes,1,26.21846042761442,,26.21846042761442,26.21846042761442,26.21846042761442,26.21846042761442
LIT,1w,vol_top10,base,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,vol_top10,no,29,2.5525474350897053,18.588269729360405,0.6562586349820432,22.314339890757672,53.935661325185706,57.81649313464474
LIT,1w,vol_top10,yes,4,-7.097706844019555,22.68145236799058,-16.248270392357433,14.82778743888135,25.079393128741103,26.104553697727084
