coin,tf,n,mean,stdev,skew,kurtosis,p50,p90,p99,p99_9,min,max,v0_count
XMR,1w,189,0.8280756328305087,8.251591840990157,0.6765533116287749,6.8623886786473225,0.8147645207086107,9.816959728354572,25.624105440405614,35.95235547478265,-27.264509130356174,36.49054062327801,158
XMR,5m,5020,0.002565531982262247,0.15731212112133505,-0.13471173095272274,7.678230514821889,0.002758775469891006,0.17509082577788168,0.40975640253743867,0.7644818837499077,-1.112734629650436,1.305358973717774,0
XRP,1d,1320,0.17046721555398017,4.395582686062609,4.606435909240567,71.30561533172498,-0.04425576724191305,3.901419958641175,14.57330862396891,31.44358353341315,-19.67831612390786,74.58840524292059,166
XRP,1h,5001,-0.012364956592447135,0.6181855086472126,0.23434305512212106,12.426367729184536,-0.018336847895850106,0.5933482537864965,1.899341744377403,3.5539823008850044,-5.67864457270526,5.360523145758056,0
XRP,1w,189,1.1647989079449634,11.952265485206874,2.8784203186847983,16.154535817981646,-0.3661690039825749,10.762126455767794,59.946775783521,71.50310425504743,-22.540716612377842,74.07643447411468,23
XRP,5m,5019,-0.0017833260013017788,0.10696574287585164,0.2572617136418227,9.4353019517668,0.0,0.1128731972051522,0.29368640990838807,0.5738031650396533,-0.7376081825334224,1.090460838232521,0
ZEC,1d,1314,0.3462084973694414,5.77259114256396,1.6666690320084356,17.191398718145496,0.0,6.410416344465563,17.9501637881772,36.24194290123661,-26.011467594382164,62.93498786080387,998
ZEC,1h,5001,0.01196691858802274,1.2782720990900986,0.571805294796309,16.236619167583996,-0.025701985478376876,1.2791617240015762,3.7668408028594946,8.757628402156614,-14.86044222121703,11.590958330324263,0
ZEC,1w,189,2.596228372176135,18.005079067344035,3.055606372643481,24.092881928220173,1.309164149043296,19.308907908485814,58.68763911425557,130.7450914948018,-35.60075200820373,144.96149434704245,143
ZEC,5m,5025,-0.0004563730704327462,0.19876882734354873,0.264167603785729,6.3430041028788455,0.0,0.2201171416970338,0.56546185555251,0.9585746315061674,-1.0848126232741673,1.442276874425752,0
