feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next,range_p90_next,split1_median,split2_median,h1_n,h2_n
dom,22,1h,2016,-0.08599761485790697,-0.06252661454699271,1.146499538358936,2.365883415012059,0.5140946068680085,0.3493358900841792,0.8781011825641997,2.022935973184265,-0.0698649321636935,-0.05621963039936784,1152,864
dom,23,1h,2016,-0.015848392118551543,-0.023618067454228564,1.4279808618957945,3.5232421212302683,0.6139056317510436,0.39566441060729374,0.9607024943259743,2.2906608745861003,-0.003211015066084677,-0.03398621070714314,1152,864
dom,24,1h,2016,0.01271046098847853,-0.008611201137309621,1.2451843769395787,2.9896287325945354,0.5393836969205998,0.3429370545020016,0.8871163205793664,2.1657619105223898,0.0014707180045259172,-0.03301468441855859,1152,864
dom,25,1h,2016,-0.0038907704685400826,-0.002497516367105934,1.295705316081186,3.7641832878965804,0.5642009061218214,0.31931878658861823,0.8866470036394053,2.31166569182854,-0.002794820437446166,-0.0011012973282598093,1152,864
dom,26,1h,2016,0.03439245225085036,0.0011908372772317932,1.317315637346439,3.0538528851242,0.567790504496373,0.36922261123431,0.9447806702407905,2.307052643682766,0.0,0.005258005117347864,1152,864
dom,27,1h,2016,-0.05046305245755026,-0.018289227665591046,1.401176950369637,3.0075946050022533,0.5867359200773042,0.35711955361911185,0.9531996946426291,2.26481575819324,0.004298505906352723,-0.04484088011731946,1152,864
dom,28,1h,2016,0.010615123235510875,-0.013572898090569163,1.3467280446554541,3.3339119300211575,0.5904775652627734,0.3760189527461544,0.9648072344830471,2.407601184015268,-0.023618327968771835,0.00891284523336644,1152,864
dom,29,1h,1728,-0.03433218290162384,-0.0016127471535010152,1.5255473156230879,3.4612311072513973,0.641946437990679,0.40951138476766347,0.9693423505040536,2.5904867129447027,-0.04482906618086813,0.05328870971831323,864,864
dom,30,1h,1728,0.0006198030502014197,0.008496329265816893,1.2400096333942077,2.845380210931599,0.544433498365892,0.3589336127188314,0.9317469780972327,2.2328251103419974,0.008496329265816893,0.009470943082701133,864,864
dom,31,1h,1152,-0.04646351461254869,-0.0315131287433823,1.5007989603646428,3.8696574479992005,0.6525998084972471,0.4002493444489219,1.020137270873776,2.771343633785327,-0.05231074922059098,-0.019499896497843228,576,576
dom,1,1w,38,7.062655476127984,6.77196178314563,31.391161268572798,42.218140831482636,13.248339166680472,8.13657052999922,17.611390519371312,49.5140330456644,6.877119489327743,6.666804076963517,23,15
dom,2,1w,59,3.6038338529973064,4.400838254905692,22.620663862922232,43.82057061058716,10.115520725857975,7.72581614259964,21.81971730820518,82.07214047795614,6.150743634988665,3.6442428046965847,25,34
dom,3,1w,30,7.300174467487489,6.95516509973777,20.96940090779077,54.756178746238696,11.921246619383355,10.321977791523457,16.893706184984172,28.596906094601685,2.1367098329127368,8.742630837580911,16,14
dom,4,1w,56,0.22158208146021888,0.3697756952628417,26.695025278553658,43.88336549511236,11.659147023033954,8.474034142982067,18.669738707520622,48.38645366849457,-2.917985819359359,3.5740124439299636,29,27
dom,5,1w,54,1.586838242122873,1.4818728528572467,14.12088618789979,29.619877231194682,6.764082453180143,4.883312362846704,15.368896172142055,29.595556943559078,1.48315951444693,0.6901879989698712,25,29
