coin,feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next
DOGE,body_pos,upper,5m,1440,0.0034431871819115174,0.005709147817667404,0.1660900995286797,0.34347898048261327,0.07654507335325095,0.05604055446404299,0.09836556662281651
ETH,body_pos,lower,5m,1209,-0.001592946962398798,0.0,0.16925517201768167,0.40783079942429445,0.07228310948211321,0.04289084280506561,0.1010853373058146
ETH,body_pos,mid,5m,2577,-0.0007642465758873503,-0.005202101649059987,0.16921906326543779,0.4008123698635288,0.07499789104083009,0.04795396419436937,0.10775281504229299
ETH,body_pos,upper,5m,1245,0.000115720580378798,0.0,0.18228788336040583,0.4173240389487076,0.07505466714600179,0.04794119213764603,0.10152826760713174
HYPE,body_pos,lower,5m,1008,-0.00727838806906671,0.0035578531793478696,0.2734427126131567,0.5767175275597115,0.12672431949399265,0.09411089328328903,0.2030936801416868
HYPE,body_pos,mid,5m,2916,0.0040241421556691664,0.0018254676949824855,0.28705330415079167,0.5696517158467183,0.12903599918108563,0.09393899809979622,0.20512686052087326
HYPE,body_pos,upper,5m,1079,-0.006569483272869683,-0.015286721571461381,0.2874963693343658,0.5260656243949476,0.12949251779720122,0.09799554565701474,0.2066550582652398
LIT,body_pos,lower,5m,1247,-0.0049745163308532086,-0.004365477801560047,0.49114589032018396,0.9776574327643098,0.22895901093425067,0.17223232226581953,0.33738832921497264
LIT,body_pos,mid,5m,2712,-0.0020314472307631725,-0.012508613779826927,0.5032508606756292,0.9712397346468015,0.2282922137842123,0.16851740169208096,0.3486278291341195
LIT,body_pos,upper,5m,1061,0.015308852685078535,-0.013574660633475233,0.5580779417328818,1.1585879076469563,0.2562651058636074,0.1896425966448012,0.3649635036496353
PUMP,body_pos,lower,5m,970,0.018188500755883588,0.0357273372335265,0.6200074883357544,1.249048339144162,0.28553259702596306,0.21590361378389655,0.4605021163780388
PUMP,body_pos,mid,5m,3066,0.008291189757023745,0.0,0.646296971397825,1.2333310952337775,0.28721490616452305,0.21312876847729978,0.4679289621112625
PUMP,body_pos,upper,5m,995,-0.007111886821614559,-0.039824771007568316,0.6245383979686436,1.3745259689067757,0.29092247297772855,0.21739130434781373,0.4837929366231266
