coin,tf,signal,group,n,mean_next,stdev_next,p50_next,p90_next,p99_next,p99.9_next,mw_p,p99_ci_lo,p99_ci_hi
BTC,1h,range_top1,yes,51,0.20787142741728962,1.2222795783960383,0.2009884678747964,1.8230732710871944,3.164890635972495,3.3980886100039323,0.06596153395568705,2.076525744002511,3.423999496007424
BTC,1h,range_top1,no,4950,-0.009196876479660753,0.4658122285878016,-0.003264168018657365,0.44870134518522065,1.3601167907200722,2.3023633200701403,,,
BTC,1h,vol_top1,yes,51,0.14280294122290663,1.317961124990762,0.179713895478395,1.8862135232466049,2.92642515247028,3.374242061653712,0.09997284858784132,1.9858721594362971,3.423999496007424
BTC,1h,vol_top1,no,4950,-0.008526473894627717,0.4634355061852206,-0.003264168018657365,0.44870134518522065,1.3425551369802433,2.390089105999147,,,
BTC,1h,up5_consec,yes,81,-0.03558745415818968,0.4312647033251382,-0.11639532627997218,0.5958265423357423,1.0272513710671582,1.2997326184034665,0.12861232520326946,0.701221592658499,1.3300083125519446
BTC,1h,up5_consec,no,4920,-0.00651229918480195,0.4805570260793066,-0.0015477206424363565,0.4557761340482026,1.4227989776681942,2.4944114511331934,,,
BTC,1h,dn5_consec,yes,99,0.049627380957846315,0.5054032119665097,0.08764790584110393,0.4195315357112195,1.3852187301166565,2.45627025812394,0.06360441848835777,0.6625138004665674,2.5752759834580807
BTC,1h,dn5_consec,no,4902,-0.008126521111967717,0.47922776489391694,-0.004756019846274828,0.4592480641835352,1.4181031930137022,2.4346357056723065,,,
BTC,1w,base,base,188,0.7824751650940283,6.233942338460711,0.17449322309929238,7.475323941895045,19.693663408585333,21.625319622379223,,,
BTC,1w,prev_ret_gt_2s,yes,7,2.8264264422809857,3.7409824867842003,2.773913043478271,6.945527014482288,8.54655459775472,8.706657356081966,0.204776567777791,,
BTC,1w,prev_ret_gt_2s,no,181,0.7034273256448087,6.303815461347529,0.1263814191229118,7.467875321840034,19.762207627738565,21.63461635845577,,,
BTC,1w,prev_ret_lt_m2s,yes,5,1.3031923475347316,7.085343207468545,4.9034975996864905,7.112839014242236,7.432371691080254,7.464324958764056,0.6799410960652135,,
BTC,1w,prev_ret_lt_m2s,no,183,0.768247919672151,6.230463887697215,0.17319477751132073,7.470818108616527,19.74262356512337,21.631960148148213,,,
BTC,1w,prev_ret_gt_3s,yes,5,4.3486772490439884,3.2036646376510265,4.312251216275986,7.538500193472078,8.605851915653702,8.712587087871864,0.06711529434226285,,
BTC,1w,prev_ret_gt_3s,no,183,0.6850379496855591,6.27257272123416,0.10799760862438834,7.450955121803165,19.74262356512337,21.631960148148213,,,
BTC,1w,prev_ret_lt_m3s,yes,0,,,,,,,,,
