coin,tf,quarter,qidx,n,sigma_ret,median_range,kurtosis,p99,p99_9,min,max,ev3_count,ev3_rate
PUMP,1w,2026Q2,14,13,9.6401,20.1531,3.498,11.567,11.903,-22.367,11.94,0,0.0
PUMP,1w,2026Q3,15,7,10.1072,24.8164,4.149,28.348,29.149,-2.561,29.238,0,0.0
SOL,1w,2023Q1,1,4,5.8427,21.9098,2.647,11.047,11.23,-1.43,11.25,0,0.0
SOL,1w,2023Q2,2,13,12.35,16.139,2.456,19.072,19.09,-22.267,19.092,0,0.0
SOL,1w,2023Q3,3,13,10.8798,13.1185,1.99,20.718,20.826,-8.091,20.837,0,0.0
SOL,1w,2023Q4,4,13,19.0323,26.2419,2.793,50.361,51.806,-12.309,51.967,2,153.85
SOL,1w,2024Q1,5,13,11.0296,25.3526,2.559,24.188,25.08,-13.212,25.179,0,0.0
SOL,1w,2024Q2,6,13,10.9308,20.0908,2.763,12.092,12.127,-24.038,12.131,0,0.0
SOL,1w,2024Q3,7,13,7.8964,16.7905,3.583,14.038,14.511,-15.647,14.563,0,0.0
SOL,1w,2024Q4,8,13,7.3521,18.0379,2.061,14.793,15.282,-9.198,15.337,0,0.0
SOL,1w,2025Q1,9,13,12.7867,22.4104,3.22,23.078,24.921,-19.877,25.126,0,0.0
SOL,1w,2025Q2,10,13,8.8425,16.3833,3.02,19.295,19.811,-11.008,19.868,0,0.0
SOL,1w,2025Q3,11,13,9.1015,16.7969,2.911,18.917,19.92,-13.616,20.031,0,0.0
SOL,1w,2025Q4,12,13,7.6766,15.0603,1.94,7.361,7.731,-16.341,7.772,0,0.0
SOL,1w,2026Q1,13,13,10.624,16.5618,3.419,9.232,9.395,-26.51,9.413,0,0.0
SOL,1w,2026Q2,14,13,8.5039,12.3901,2.456,13.943,13.962,-13.098,13.964,0,0.0
SOL,1w,2026Q3,15,7,2.4804,7.5669,7.641,2.083,2.152,-5.493,2.159,0,0.0
XMR,1w,2026Q1,13,10,6.9173,14.341,3.832,4.179,4.253,-18.519,4.262,0,0.0
XMR,1w,2026Q2,14,13,5.7229,12.4402,2.392,10.06,10.51,-7.768,10.56,0,0.0
XMR,1w,2026Q3,15,7,2.7271,10.2749,1.995,7.546,7.594,0.269,7.599,0,0.0
XRP,1w,2023Q2,2,2,7.0275,13.5766,,2.707,2.796,-7.132,2.806,0,0.0
XRP,1w,2023Q3,3,13,22.2775,9.6557,13.828,66.126,73.281,-12.577,74.076,1,76.92
XRP,1w,2023Q4,4,13,7.5798,13.0435,2.154,13.773,13.872,-8.307,13.882,0,0.0
XRP,1w,2024Q1,5,13,6.7575,13.3888,2.595,11.805,12.454,-11.418,12.526,0,0.0
XRP,1w,2024Q2,6,13,6.7561,12.3996,7.707,7.465,7.578,-19.935,7.59,0,0.0
XRP,1w,2024Q3,7,13,13.1794,14.0776,11.936,38.666,42.25,-7.695,42.648,1,76.92
XRP,1w,2024Q4,8,13,23.5496,21.8301,3.441,60.328,60.382,-4.019,60.389,2,153.85
XRP,1w,2025Q1,9,13,15.3612,20.611,3.156,30.152,32.169,-22.541,32.393,0,0.0
XRP,1w,2025Q2,10,13,6.8184,12.7843,7.963,18.459,19.915,-6.003,20.076,0,0.0
XRP,1w,2025Q3,11,13,9.0979,12.7876,6.401,24.43,26.249,-10.018,26.451,0,0.0
XRP,1w,2025Q4,12,13,6.8035,14.697,2.742,7.541,7.814,-16.339,7.845,0,0.0
XRP,1w,2026Q1,13,13,8.9475,15.9134,5.197,16.122,17.393,-20.946,17.535,0,0.0
XRP,1w,2026Q2,14,13,5.4376,9.1677,2.193,7.668,8.112,-9.552,8.162,0,0.0
XRP,1w,2026Q3,15,7,3.7991,7.284,1.656,3.567,3.623,-5.975,3.63,0,0.0
ZEC,1w,2025Q4,12,12,24.4192,61.109,2.86,46.116,47.295,-35.601,47.426,0,0.0
ZEC,1w,2026Q1,13,13,13.0689,26.9369,3.513,16.036,16.766,-32.094,16.848,0,0.0
ZEC,1w,2026Q2,14,13,26.1706,27.6438,4.754,64.444,68.852,-34.293,69.342,1,76.92
ZEC,1w,2026Q3,15,7,12.0938,15.6659,2.076,21.783,22.362,-9.668,22.426,0,0.0
AAVE,5m,2026Q3,15,5018,0.1778,0.173,8.992,0.474,0.775,-2.002,1.092,68,13.55
BTC,5m,2026Q3,15,5031,0.0832,0.0757,10.454,0.235,0.484,-0.568,0.773,87,17.29
CRV,5m,2026Q3,15,5024,0.2388,0.17,11.669,0.746,1.264,-2.048,2.129,102,20.3
DOGE,5m,2026Q3,15,5026,0.1169,0.1014,11.524,0.326,0.57,-1.214,1.077,75,14.92
ETH,5m,2026Q3,15,5031,0.1147,0.105,17.786,0.336,0.61,-0.83,1.668,93,18.49
HYPE,5m,2026Q3,15,5003,0.1766,0.2052,5.917,0.465,0.696,-1.18,0.949,70,13.99
LIT,5m,2026Q3,15,5020,0.3227,0.35,5.614,0.908,1.355,-1.836,2.023,64,12.75
PUMP,5m,2026Q3,15,5031,0.3951,0.4719,5.876,1.124,1.829,-2.25,2.56,66,13.12
SOL,5m,2026Q3,15,5029,0.1137,0.1119,10.02,0.337,0.517,-0.776,1.275,79,15.71
XMR,5m,2026Q3,15,5020,0.1573,0.147,7.678,0.41,0.764,-1.113,1.305,75,14.94
XRP,5m,2026Q3,15,5019,0.107,0.1022,9.435,0.294,0.574,-0.738,1.09,73,14.54
ZEC,5m,2026Q3,15,5025,0.1988,0.2156,6.343,0.565,0.959,-1.085,1.442,71,14.13
