entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
2040,2041,2025-01-18 00:00:00+00:00,2025-01-18 02:00:00+00:00,S,104223.1,103030.7346,598.8,57952.34,1
2041,2042,2025-01-18 02:00:00+00:00,2025-01-18 04:00:00+00:00,L,103530.0,103727.489,52.59,58004.94,1
2052,2054,2025-01-19 00:00:00+00:00,2025-01-19 04:00:00+00:00,S,104452.6,104248.9989,55.06,58060.0,2
2061,2062,2025-01-19 18:00:00+00:00,2025-01-19 20:00:00+00:00,L,106231.4,106451.9389,62.47,58122.47,1
2067,2068,2025-01-20 06:00:00+00:00,2025-01-20 08:00:00+00:00,S,107172.9,108178.5,-603.48,57518.99,1
2068,2069,2025-01-20 08:00:00+00:00,2025-01-20 10:00:00+00:00,L,108178.5,108745.8023,244.12,57763.11,1
2073,2074,2025-01-20 18:00:00+00:00,2025-01-20 20:00:00+00:00,S,103693.3,102614.5983,543.14,58306.24,1
2076,2077,2025-01-21 00:00:00+00:00,2025-01-21 02:00:00+00:00,L,101485.3,103202.9748,928.55,59234.79,1
2091,2092,2025-01-22 06:00:00+00:00,2025-01-22 08:00:00+00:00,S,105063.5,104732.433,127.42,59362.21,1
2100,2101,2025-01-23 00:00:00+00:00,2025-01-23 02:00:00+00:00,L,102910.7,102951.7198,-35.7,59326.51,1
2105,2106,2025-01-23 10:00:00+00:00,2025-01-23 12:00:00+00:00,S,101921.5,101303.9641,300.13,59626.64,1
2112,2113,2025-01-24 00:00:00+00:00,2025-01-24 02:00:00+00:00,L,103183.3,104204.296,530.38,60157.01,1
2128,2129,2025-01-25 08:00:00+00:00,2025-01-25 10:00:00+00:00,S,104308.7,104059.457,83.59,60240.6,1
2131,2132,2025-01-25 14:00:00+00:00,2025-01-25 16:00:00+00:00,L,104846.5,104942.5598,-5.05,60235.55,1
2138,2139,2025-01-26 04:00:00+00:00,2025-01-26 06:00:00+00:00,S,105065.8,104919.7951,23.47,60259.02,1
2139,2140,2025-01-26 06:00:00+00:00,2025-01-26 08:00:00+00:00,L,104966.0,105184.0974,64.95,60323.97,1
2141,2142,2025-01-26 10:00:00+00:00,2025-01-26 12:00:00+00:00,S,104773.6,104669.3687,-0.31,60323.66,1
2142,2143,2025-01-26 12:00:00+00:00,2025-01-26 14:00:00+00:00,L,104924.5,105039.5809,5.84,60329.5,1
2146,2147,2025-01-26 20:00:00+00:00,2025-01-26 22:00:00+00:00,S,104527.0,102472.3305,1125.56,61455.05,1
2147,2148,2025-01-26 22:00:00+00:00,2025-01-27 00:00:00+00:00,L,102553.7,103200.614,326.21,61781.26,1
2153,2154,2025-01-27 10:00:00+00:00,2025-01-27 12:00:00+00:00,S,98700.0,98679.526,-48.97,61732.3,1
2155,2156,2025-01-27 14:00:00+00:00,2025-01-27 16:00:00+00:00,L,101055.2,101168.7083,7.61,61739.9,1
2156,2157,2025-01-27 16:00:00+00:00,2025-01-27 18:00:00+00:00,S,99100.8,98819.7743,113.34,61853.24,1
2158,2159,2025-01-27 20:00:00+00:00,2025-01-27 22:00:00+00:00,L,101298.0,102108.0108,432.74,62285.99,1
2160,2161,2025-01-28 00:00:00+00:00,2025-01-28 02:00:00+00:00,S,101335.0,101308.3657,-45.92,62240.07,1
2164,2165,2025-01-28 08:00:00+00:00,2025-01-28 10:00:00+00:00,L,102910.8,103153.2783,84.41,62324.48,1
2169,2170,2025-01-28 18:00:00+00:00,2025-01-28 20:00:00+00:00,S,102375.4,100233.5226,1241.62,63566.1,1
2176,2177,2025-01-29 08:00:00+00:00,2025-01-29 10:00:00+00:00,L,102290.0,102742.5593,217.67,63783.77,1
2179,2180,2025-01-29 14:00:00+00:00,2025-01-29 16:00:00+00:00,S,101919.3,101640.0868,110.96,63894.72,1
2180,2181,2025-01-29 16:00:00+00:00,2025-01-29 18:00:00+00:00,L,102367.6,103961.5561,931.0,64825.72,1
2181,2182,2025-01-29 18:00:00+00:00,2025-01-29 20:00:00+00:00,S,103536.1,102824.7793,380.54,65206.27,1
2182,2183,2025-01-29 20:00:00+00:00,2025-01-29 22:00:00+00:00,L,103679.0,104305.0677,328.54,65534.81,1
2184,2185,2025-01-30 00:00:00+00:00,2025-01-30 02:00:00+00:00,S,104237.0,103928.2885,128.56,65663.37,1
