entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
771,772,2026-07-04 06:00:00+00:00,2026-07-04 08:00:00+00:00,L,62570.0,62658.5686,-17.94,11302.83,1
774,775,2026-07-04 12:00:00+00:00,2026-07-04 14:00:00+00:00,L,62578.0,63042.2432,49.94,11352.78,1
790,791,2026-07-05 20:00:00+00:00,2026-07-05 22:00:00+00:00,L,63092.0,63988.1841,127.2,11479.98,1
798,799,2026-07-06 12:00:00+00:00,2026-07-06 14:00:00+00:00,L,61780.0,63545.8622,293.69,11773.67,1
805,806,2026-07-07 02:00:00+00:00,2026-07-07 04:00:00+00:00,L,63189.0,63281.816,-18.03,11755.64,1
828,829,2026-07-09 00:00:00+00:00,2026-07-09 02:00:00+00:00,L,61895.0,62088.2899,1.44,11757.09,1
844,845,2026-07-10 08:00:00+00:00,2026-07-10 10:00:00+00:00,L,64383.0,64483.8659,-16.85,11740.24,1
851,852,2026-07-10 22:00:00+00:00,2026-07-11 00:00:00+00:00,L,64155.0,64287.6947,-10.94,11729.3,1
871,872,2026-07-12 14:00:00+00:00,2026-07-12 16:00:00+00:00,L,64167.0,64204.6582,-28.3,11700.99,1
876,877,2026-07-13 00:00:00+00:00,2026-07-13 02:00:00+00:00,L,63404.0,63542.0535,-9.63,11691.37,1
896,897,2026-07-14 16:00:00+00:00,2026-07-14 18:00:00+00:00,L,64609.0,64687.3972,-20.89,11670.48,1
906,907,2026-07-15 12:00:00+00:00,2026-07-15 14:00:00+00:00,L,65106.0,65566.5429,47.54,11718.02,1
912,913,2026-07-16 00:00:00+00:00,2026-07-16 02:00:00+00:00,L,64713.0,64727.6002,-32.51,11685.51,1
924,925,2026-07-17 00:00:00+00:00,2026-07-17 02:00:00+00:00,L,63539.0,63719.5438,-1.85,11683.66,1
941,942,2026-07-18 10:00:00+00:00,2026-07-18 12:00:00+00:00,L,64049.0,64242.9437,0.33,11683.99,1
965,967,2026-07-20 10:00:00+00:00,2026-07-20 14:00:00+00:00,L,64989.0,65589.4448,72.9,11756.84,2
967,968,2026-07-20 14:00:00+00:00,2026-07-20 16:00:00+00:00,L,65565.0,65589.7916,-30.82,11726.01,1
976,977,2026-07-21 08:00:00+00:00,2026-07-21 10:00:00+00:00,L,66259.0,66372.7509,-15.05,11710.97,1
995,996,2026-07-22 22:00:00+00:00,2026-07-23 00:00:00+00:00,L,66086.0,66286.3839,0.38,11711.34,1
1020,1021,2026-07-25 00:00:00+00:00,2026-07-25 02:00:00+00:00,L,64041.0,64064.7764,-30.79,11680.56,1
1037,1038,2026-07-26 10:00:00+00:00,2026-07-26 12:00:00+00:00,L,64476.0,64625.4476,-7.97,11672.59,1
1056,1057,2026-07-28 00:00:00+00:00,2026-07-28 02:00:00+00:00,L,63200.0,63345.8734,-8.08,11664.51,1
1085,1086,2026-07-30 10:00:00+00:00,2026-07-30 12:00:00+00:00,L,64747.0,65143.1516,36.38,11700.89,1
1104,1105,2026-08-01 00:00:00+00:00,2026-08-01 02:00:00+00:00,L,62940.0,63069.8834,-10.96,11689.93,1
1126,1127,2026-08-02 20:00:00+00:00,2026-08-02 22:00:00+00:00,L,63560.0,63777.6773,4.97,11694.9,1
1136,1137,2026-08-03 16:00:00+00:00,2026-08-03 18:00:00+00:00,L,63874.0,64041.7218,-4.38,11690.52,1
1147,1148,2026-08-04 14:00:00+00:00,2026-08-04 16:00:00+00:00,L,64091.0,64144.6335,-25.29,11665.23,1
1160,1161,2026-08-05 16:00:00+00:00,2026-08-05 18:00:00+00:00,L,64730.0,64892.9945,-5.62,11659.61,1
1176,1177,2026-08-07 00:00:00+00:00,2026-08-07 02:00:00+00:00,L,64393.0,64511.4598,-13.53,11646.08,1
1183,1184,2026-08-07 14:00:00+00:00,2026-08-07 16:00:00+00:00,L,64876.0,65036.5453,-6.12,11639.96,1
1185,1186,2026-08-07 18:00:00+00:00,2026-08-07 20:00:00+00:00,L,64919.0,65055.8575,-10.38,11629.58,1
1194,1195,2026-08-08 12:00:00+00:00,2026-08-08 14:00:00+00:00,L,64988.0,65163.1277,-3.55,11626.03,1
1200,1204,2026-08-09 00:00:00+00:00,2026-08-09 08:00:00+00:00,L,64838.0,64905.4329,-22.79,11603.11,4
1224,1225,2026-08-11 00:00:00+00:00,2026-08-11 02:00:00+00:00,L,64039.0,64158.2879,-13.2,11589.91,1
1241,1242,2026-08-12 10:00:00+00:00,2026-08-12 12:00:00+00:00,L,64207.0,64480.7703,14.65,11604.56,1
1248,1249,2026-08-13 00:00:00+00:00,2026-08-13 02:00:00+00:00,L,63434.0,63651.9489,5.06,11609.62,1
1259,1260,2026-08-13 22:00:00+00:00,2026-08-14 00:00:00+00:00,L,63480.0,63583.2642,-15.94,11593.67,1
1261,1262,2026-08-14 02:00:00+00:00,2026-08-14 04:00:00+00:00,L,63319.0,63466.5066,-7.77,11585.9,1
1268,1269,2026-08-14 16:00:00+00:00,2026-08-14 18:00:00+00:00,L,62988.0,63059.4311,-21.62,11564.28,1
1271,1272,2026-08-14 22:00:00+00:00,2026-08-15 00:00:00+00:00,L,63029.0,63037.0979,-33.21,11531.07,1
1279,1280,2026-08-15 14:00:00+00:00,2026-08-15 16:00:00+00:00,L,63074.0,63087.7099,-32.09,11498.99,1
1291,1292,2026-08-16 14:00:00+00:00,2026-08-16 16:00:00+00:00,L,63113.0,63364.9594,11.41,11510.4,1
1298,1299,2026-08-17 04:00:00+00:00,2026-08-17 06:00:00+00:00,L,63488.0,63680.6468,0.4,11510.79,1
1317,1318,2026-08-18 18:00:00+00:00,2026-08-18 20:00:00+00:00,L,64621.0,64625.1413,-33.79,11477.0,1
1330,1331,2026-08-19 20:00:00+00:00,2026-08-19 22:00:00+00:00,L,69714.0,69814.8931,-17.82,11459.18,1
1339,1340,2026-08-20 14:00:00+00:00,2026-08-20 16:00:00+00:00,L,72453.0,72951.3356,44.44,11503.62,1
1350,1351,2026-08-21 12:00:00+00:00,2026-08-21 14:00:00+00:00,L,77278.0,77868.5916,53.4,11557.02,1
