entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
336,337,2026-05-29 00:00:00+00:00,2026-05-29 02:00:00+00:00,S,73563.0,73163.2429,49.85,11291.88,1
337,338,2026-05-29 02:00:00+00:00,2026-05-29 04:00:00+00:00,L,73261.0,73683.8973,53.89,11345.77,1
343,344,2026-05-29 14:00:00+00:00,2026-05-29 16:00:00+00:00,S,73776.0,73541.2882,24.75,11370.52,1
344,345,2026-05-29 16:00:00+00:00,2026-05-29 18:00:00+00:00,L,73942.0,74018.4009,0.38,11370.89,1
345,346,2026-05-29 18:00:00+00:00,2026-05-29 20:00:00+00:00,S,73487.0,73378.2777,5.45,11376.35,1
353,354,2026-05-30 10:00:00+00:00,2026-05-30 12:00:00+00:00,L,73574.0,73818.5058,26.43,11402.78,1
360,361,2026-05-31 00:00:00+00:00,2026-05-31 02:00:00+00:00,S,74017.0,73846.8367,14.81,11417.59,1
372,373,2026-06-01 00:00:00+00:00,2026-06-01 02:00:00+00:00,L,73268.0,73991.4208,101.32,11518.9,1
376,377,2026-06-01 08:00:00+00:00,2026-06-01 10:00:00+00:00,S,72864.0,72267.3204,82.81,11601.71,1
378,379,2026-06-01 12:00:00+00:00,2026-06-01 14:00:00+00:00,L,71700.0,71866.0998,15.27,11616.99,1
379,380,2026-06-01 14:00:00+00:00,2026-06-01 16:00:00+00:00,S,71128.0,70694.7002,59.15,11676.14,1
384,385,2026-06-02 00:00:00+00:00,2026-06-02 02:00:00+00:00,L,70633.0,71014.4161,51.37,11727.51,1
388,389,2026-06-02 08:00:00+00:00,2026-06-02 10:00:00+00:00,S,69409.0,69342.8525,-0.55,11726.96,1
396,397,2026-06-03 00:00:00+00:00,2026-06-03 02:00:00+00:00,L,66881.0,66886.4224,-10.78,11716.19,1
403,404,2026-06-03 14:00:00+00:00,2026-06-03 16:00:00+00:00,S,66055.0,65551.924,77.51,11793.7,1
408,409,2026-06-04 00:00:00+00:00,2026-06-04 02:00:00+00:00,L,62148.0,64484.2005,431.54,12225.24,1
425,426,2026-06-05 10:00:00+00:00,2026-06-05 12:00:00+00:00,S,61930.0,60709.0196,228.8,12454.04,1
432,433,2026-06-06 00:00:00+00:00,2026-06-06 02:00:00+00:00,L,61045.0,61144.9096,7.93,12461.97,1
437,438,2026-06-06 10:00:00+00:00,2026-06-06 12:00:00+00:00,S,60774.0,60625.2737,18.04,12480.01,1
448,449,2026-06-07 08:00:00+00:00,2026-06-07 10:00:00+00:00,L,62521.0,62746.2101,32.47,12512.48,1
453,454,2026-06-07 18:00:00+00:00,2026-06-07 20:00:00+00:00,S,61300.0,61208.5679,6.15,12518.63,1
455,456,2026-06-07 22:00:00+00:00,2026-06-08 00:00:00+00:00,L,63309.0,63842.6956,93.01,12611.65,1
