vol_percentile,vol_threshold,risk_multiplier,normalized_multiplier,position_size_hint,coin,tf
99,1.098682090279645,0.9101813971914954,0.3477108408875125,0.35x base,BTC,1h
10,4.245561040896659,0.2355401301187748,1.169829111993765,1.17x base,CRV,1d
25,4.5165854382275805,0.22140619582576182,1.0996317838584873,1.10x base,CRV,1d
50,4.966580902387462,0.20134575871285912,1.0,1.00x base,CRV,1d
75,5.79534303787592,0.17255233960516597,0.8569951545452931,0.86x base,CRV,1d
90,6.769758583775194,0.14771575494533284,0.7336422474932364,0.73x base,CRV,1d
95,7.653345755659802,0.13066180882530753,0.6489424443831739,0.65x base,CRV,1d
99,9.225694627647197,0.10839292219831767,0.5383422173441346,0.54x base,CRV,1d
10,0.6286576227954295,1.590690963951627,1.2247210548649585,1.22x base,CRV,1h
25,0.6964750692462711,1.435801573030037,1.1054670309622683,1.11x base,CRV,1h
50,0.7699302269389156,1.298818990359418,0.9999999999999999,1.00x base,CRV,1h
75,0.9123889840225263,1.0960237546832443,0.8438618181737126,0.84x base,CRV,1h
90,1.1176872248894283,0.8947046881554265,0.6888601835948192,0.69x base,CRV,1h
95,1.2773185607779483,0.7828900563309376,0.6027707187390992,0.60x base,CRV,1h
99,1.764816622152449,0.5666311091179295,0.43626641843381686,0.44x base,CRV,1h
10,2.983996120877412,0.3351210790803444,1.3663517063738733,1.37x base,DOGE,1d
25,3.422936715596261,0.2921467976441406,1.191137473560811,1.19x base,DOGE,1d
50,4.07718819157387,0.2452670696110256,1.0,1.00x base,DOGE,1d
75,4.810593749677624,0.2078745477243872,0.8475436513106305,0.85x base,DOGE,1d
90,5.990849762973813,0.1669212281336876,0.6805692602696791,0.68x base,DOGE,1d
95,6.980301289071105,0.14326029186815714,0.5840991703262765,0.58x base,DOGE,1d
99,8.771730938069155,0.11400258478745831,0.464809992504324,0.46x base,DOGE,1d
10,0.47818729926968634,2.0912307824303458,1.2078129790298928,1.21x base,DOGE,1h
25,0.5178678742124905,1.930994467499411,1.1152667605486475,1.12x base,DOGE,1h
50,0.5775608264651787,1.7314193660263597,1.0,1.00x base,DOGE,1h
75,0.6670580839159459,1.4991198279608995,0.8658328868074336,0.87x base,DOGE,1h
90,0.8278939249690234,1.2078842105737353,0.6976266029332066,0.70x base,DOGE,1h
95,0.9804451387971548,1.0199448805741806,0.5890802081733517,0.59x base,DOGE,1h
99,1.3788660782584659,0.7252335928540784,0.41886651326911245,0.42x base,DOGE,1h
10,2.9769525567586426,0.33591398617679596,1.1571062543896435,1.16x base,ETH,1d
