bar,side,action,price,notional,fee
2242,1,CLOSE,118300.09,3750.0,0.75
2242,1,CLOSE,119544.83,3750.0,0.75
2243,1,OPEN,123851.63,3750.0,0.75
2243,1,OPEN,123229.26,3750.0,0.75
2243,1,OPEN,121984.52,3750.0,0.75
2244,1,CLOSE,121374.6,3750.0,0.75
2244,1,CLOSE,118300.09,3750.0,0.75
2244,1,CLOSE,119544.83,3750.0,0.75
2245,1,OPEN,123851.63,3750.0,0.75
2245,1,OPEN,123229.26,3750.0,0.75
2245,1,OPEN,121984.52,3750.0,0.75
2246,1,CLOSE,121374.6,3750.0,0.75
2246,1,CLOSE,118300.09,3750.0,0.75
2246,1,CLOSE,119544.83,3750.0,0.75
2247,1,OPEN,123851.63,3750.0,0.75
2247,1,OPEN,123229.26,3750.0,0.75
2247,1,OPEN,121984.52,3750.0,0.75
2248,1,CLOSE,121374.6,3750.0,0.75
2248,1,CLOSE,118300.09,3750.0,0.75
2248,1,CLOSE,119544.83,3750.0,0.75
2249,1,OPEN,123851.63,3750.0,0.75
2249,1,OPEN,123229.26,3750.0,0.75
2249,1,OPEN,121984.52,3750.0,0.75
2250,1,CLOSE,121374.6,3750.0,0.75
2250,1,CLOSE,118300.09,3750.0,0.75
2250,1,CLOSE,119544.83,3750.0,0.75
2251,1,OPEN,123851.63,3750.0,0.75
2251,1,OPEN,123229.26,3750.0,0.75
2251,1,OPEN,121984.52,3750.0,0.75
2252,1,CLOSE,121374.6,3750.0,0.75
2252,1,CLOSE,118300.09,3750.0,0.75
2252,1,CLOSE,119544.83,3750.0,0.75
2253,1,OPEN,123851.63,3750.0,0.75
2253,1,OPEN,123229.26,3750.0,0.75
2253,1,OPEN,121984.52,3750.0,0.75
2254,1,CLOSE,121374.6,3750.0,0.75
2254,1,CLOSE,118300.09,3750.0,0.75
2254,1,CLOSE,119544.83,3750.0,0.75
2255,1,OPEN,123851.63,3750.0,0.75
2255,1,OPEN,123229.26,3750.0,0.75
2255,1,OPEN,121984.52,3750.0,0.75
2256,1,CLOSE,121374.6,3750.0,0.75
2256,1,CLOSE,118300.09,3750.0,0.75
2256,1,CLOSE,119544.83,3750.0,0.75
2257,1,OPEN,123851.63,3750.0,0.75
2257,1,OPEN,123229.26,3750.0,0.75
2257,1,OPEN,121984.52,3750.0,0.75
2258,1,CLOSE,121374.6,3750.0,0.75
2258,1,CLOSE,118300.09,3750.0,0.75
2258,1,CLOSE,119544.83,3750.0,0.75
2259,1,OPEN,123851.63,3750.0,0.75
2259,1,OPEN,123229.26,3750.0,0.75
2259,1,OPEN,121984.52,3750.0,0.75
2260,1,CLOSE,121374.6,3750.0,0.75
2260,1,CLOSE,118300.09,3750.0,0.75
2260,1,CLOSE,119544.83,3750.0,0.75
2261,1,OPEN,123851.63,3750.0,0.75
2261,1,OPEN,123229.26,3750.0,0.75
2261,1,OPEN,121984.52,3750.0,0.75
2262,1,CLOSE,121374.6,3750.0,0.75
2262,1,CLOSE,118300.09,3750.0,0.75
2262,1,CLOSE,119544.83,3750.0,0.75
2263,1,OPEN,123851.63,3750.0,0.75
2263,1,OPEN,123229.26,3750.0,0.75
2263,1,OPEN,121984.52,3750.0,0.75
2264,1,CLOSE,121374.6,3750.0,0.75
2264,1,CLOSE,118300.09,3750.0,0.75
2264,1,CLOSE,119544.83,3750.0,0.75
2265,1,OPEN,123851.63,3750.0,0.75
2265,1,OPEN,123229.26,3750.0,0.75
2265,1,OPEN,121984.52,3750.0,0.75
2266,1,CLOSE,121374.6,3750.0,0.75
2266,1,CLOSE,118300.09,3750.0,0.75
2266,1,CLOSE,119544.83,3750.0,0.75
2267,1,OPEN,123851.63,3750.0,0.75
2267,1,OPEN,123229.26,3750.0,0.75
2267,1,OPEN,121984.52,3750.0,0.75
2268,1,CLOSE,121374.6,3750.0,0.75
2268,1,CLOSE,118300.09,3750.0,0.75
2268,1,CLOSE,119544.83,3750.0,0.75
2269,1,OPEN,123851.63,3750.0,0.75
2269,1,OPEN,123229.26,3750.0,0.75
2269,1,OPEN,121984.52,3750.0,0.75
2270,1,CLOSE,121374.6,3750.0,0.75
2270,1,CLOSE,118300.09,3750.0,0.75
2270,1,CLOSE,119544.83,3750.0,0.75
2271,1,OPEN,123851.63,3750.0,0.75
2271,1,OPEN,123229.26,3750.0,0.75
2271,1,OPEN,121984.52,3750.0,0.75
2272,1,CLOSE,121374.6,3750.0,0.75
2272,1,CLOSE,118300.09,3750.0,0.75
2272,1,CLOSE,119544.83,3750.0,0.75
2273,1,OPEN,123851.63,3750.0,0.75
2273,1,OPEN,123229.26,3750.0,0.75
2273,1,OPEN,121984.52,3750.0,0.75
