bar,side,action,price,notional,fee
650,1,OPEN,21790.5,3750.0,0.75
650,1,OPEN,21681.0,3750.0,0.75
650,1,OPEN,21462.0,3750.0,0.75
650,1,OPEN,21243.0,3750.0,0.75
651,1,CLOSE,21354.69,3750.0,0.75
651,1,CLOSE,20813.76,3750.0,0.75
651,1,CLOSE,21032.76,3750.0,0.75
651,1,CLOSE,20393.28,3750.0,0.75
652,1,OPEN,21790.5,3750.0,0.75
652,1,OPEN,21681.0,3750.0,0.75
652,1,OPEN,21462.0,3750.0,0.75
652,1,OPEN,21243.0,3750.0,0.75
653,1,CLOSE,21354.69,3750.0,0.75
653,1,CLOSE,20813.76,3750.0,0.75
653,1,CLOSE,21032.76,3750.0,0.75
653,1,CLOSE,20393.28,3750.0,0.75
654,1,OPEN,21790.5,3750.0,0.75
654,1,OPEN,21681.0,3750.0,0.75
654,1,OPEN,21462.0,3750.0,0.75
654,1,OPEN,21243.0,3750.0,0.75
655,1,CLOSE,21354.69,3750.0,0.75
655,1,CLOSE,20813.76,3750.0,0.75
655,1,CLOSE,21032.76,3750.0,0.75
655,1,CLOSE,20393.28,3750.0,0.75
656,1,OPEN,21790.5,3750.0,0.75
656,1,OPEN,21681.0,3750.0,0.75
656,1,OPEN,21462.0,3750.0,0.75
656,1,OPEN,21243.0,3750.0,0.75
657,1,CLOSE,21354.69,3750.0,0.75
657,1,CLOSE,20813.76,3750.0,0.75
657,1,CLOSE,21032.76,3750.0,0.75
657,1,CLOSE,20393.28,3750.0,0.75
658,1,OPEN,21790.5,3750.0,0.75
658,1,OPEN,21681.0,3750.0,0.75
658,1,OPEN,21462.0,3750.0,0.75
658,1,OPEN,21243.0,3750.0,0.75
659,1,CLOSE,21354.69,3750.0,0.75
659,1,CLOSE,20813.76,3750.0,0.75
659,1,CLOSE,21032.76,3750.0,0.75
659,1,CLOSE,20393.28,3750.0,0.75
660,1,OPEN,21790.5,3750.0,0.75
660,1,OPEN,21681.0,3750.0,0.75
660,1,OPEN,21462.0,3750.0,0.75
660,1,OPEN,21243.0,3750.0,0.75
661,1,CLOSE,21354.69,3750.0,0.75
661,1,CLOSE,20813.76,3750.0,0.75
661,1,CLOSE,21032.76,3750.0,0.75
661,1,CLOSE,20393.28,3750.0,0.75
662,1,OPEN,21790.5,3750.0,0.75
662,1,OPEN,21681.0,3750.0,0.75
662,1,OPEN,21462.0,3750.0,0.75
662,1,OPEN,21243.0,3750.0,0.75
663,1,CLOSE,21354.69,3750.0,0.75
663,1,CLOSE,20813.76,3750.0,0.75
663,1,CLOSE,21032.76,3750.0,0.75
663,1,CLOSE,20393.28,3750.0,0.75
664,1,OPEN,21790.5,3750.0,0.75
664,1,OPEN,21681.0,3750.0,0.75
664,1,OPEN,21462.0,3750.0,0.75
664,1,OPEN,21243.0,3750.0,0.75
665,1,CLOSE,21354.69,3750.0,0.75
665,1,CLOSE,20813.76,3750.0,0.75
665,1,CLOSE,21032.76,3750.0,0.75
665,1,CLOSE,20393.28,3750.0,0.75
666,1,OPEN,21790.5,3750.0,0.75
666,1,OPEN,21681.0,3750.0,0.75
666,1,OPEN,21462.0,3750.0,0.75
666,1,OPEN,21243.0,3750.0,0.75
667,1,CLOSE,21354.69,3750.0,0.75
