side,tf,n,mean5,median5,p25,p75,ext_n,con_n,mid_n,split,bucket,h1_mean5,h2_mean5,h1_n,h2_n
up,1w,3,4.30235927605009,5.46073449036341,1.0189966761273253,8.164909483129515,,,,ext,ext,8.164909483129515,-3.4227411381087585,2.0,1.0
up,1w,14,11.745148899650578,-0.8311633632593107,-8.973551384020162,21.95965319669559,,,,ext,mid,15.018739456478636,-0.2580164753856238,11.0,3.0
up,1w,2,-4.915041550594587,-4.915041550594587,-5.73042237034654,-4.099660730842635,,,,ext,con,,-4.915041550594587,0.0,2.0
up,1w,7,-1.7589046217997448,-3.4227411381087585,-7.558174947437648,-1.3308839209895709,,,,vol,high_vol,-10.425306225155916,4.740896580717383,3.0,4.0
up,1w,12,14.98511763955562,7.617323766920835,-4.725687419223998,15.426725829390017,,,,vol,low_vol,21.28118716629918,-16.49522999416217,10.0,2.0
up,1w,11,6.466190624478487,-3.4227411381087585,-5.636612632185557,3.0416232797374754,,,,regime,high_regime,12.729763311833418,-4.495061578392638,7.0,4.0
up,1w,8,12.047622806600733,10.967087594607747,-8.324793296279084,26.51909502184668,,,,regime,low_regime,15.40460163411502,1.9766863240578747,6.0,2.0
up,1w,19,8.816267332740486,-2.284838795630163,-5.636612632185557,11.514673310816427,,,,hour,0-5,13.964304075963385,-2.3378122775758006,13.0,6.0
up,1w,0,,,,,,,,hour,6-11,,,0.0,0.0
up,1w,0,,,,,,,,hour,12-17,,,0.0,0.0
up,1w,0,,,,,,,,hour,18-23,,,0.0,0.0
up,5m,498,0.013752983609322318,-0.006598998990266976,-0.2859611319508954,0.2503854757665989,0.0,0.0,0.0,,,,,,
up,5m,127,0.06939738978107778,0.03696662441909831,-0.2362256442291774,0.20772846433931763,,,,ext,ext,-0.050235375061826806,0.24767366680187677,76.0,51.0
up,5m,266,-0.02469142020927098,-0.0670353495477284,-0.39810889554596013,0.3052512509987059,,,,ext,mid,-0.0332047601176699,-0.016675209638588775,129.0,137.0
up,5m,105,0.04384223915154023,0.06788866259334453,-0.17151767151766917,0.23178944192233947,,,,ext,con,0.06742559429331907,-0.027814878394634042,79.0,26.0
up,5m,334,0.014965268643206256,-0.03815082837574858,-0.34340262043702785,0.2694217585627842,,,,vol,high_vol,-0.027135620933410088,0.0647708961815563,181.0,153.0
up,5m,164,0.011284061650070912,0.04307525632067259,-0.21330335829160474,0.22593550709368954,,,,vol,low_vol,0.0207462794003998,-0.0046931256988450515,103.0,61.0
up,5m,480,0.03206796530867138,0.014605300213216349,-0.2808258871040876,0.25604038430917747,,,,regime,high_regime,0.01826292066797244,0.049519625514837955,268.0,212.0
up,5m,18,-0.47464652837331894,-0.2749253799897521,-0.5486939198998168,-0.13692034839365647,,,,regime,low_regime,-0.47932145935766624,-0.4372470804985407,16.0,2.0
up,5m,136,0.026539519096801672,0.04414276925630668,-0.21660265915220633,0.32869489010494446,,,,hour,0-5,0.10746839398434464,-0.07296319592886591,75.0,61.0
up,5m,69,-0.07774104346248857,-0.11200716845878975,-0.3765932792584023,0.16185298092334768,,,,hour,6-11,-0.1514036584159924,-0.01021697975511006,33.0,36.0
up,5m,227,0.05047459165664111,0.015613615072340718,-0.2890025855472359,0.24998552464680418,,,,hour,12-17,-0.03456062731233706,0.19523692871097295,143.0,84.0
up,5m,66,-0.04324225858891403,-0.01887388792711449,-0.35672841467879646,0.21579213745544792,,,,hour,18-23,-0.027161203822422667,-0.059323313355405395,33.0,33.0
