side,tf,half,n,k,mean_cum,median_cum
up,1h,h2,264,10,-0.1576382284786987,-0.22409516932494827
up,1w,h1,13,1,3.870408289960243,2.773913043478261
up,1w,h1,13,2,11.547166074485888,1.5987210231814548
up,1w,h1,13,3,17.453956613067156,8.46681349484432
up,1w,h1,13,4,14.50661905863784,7.643816426591947
up,1w,h1,13,5,13.964304075963385,5.46073449036341
up,1w,h1,13,6,21.85112438706299,11.989449098874026
up,1w,h1,13,7,19.780362102943375,4.643962848297214
up,1w,h1,13,8,28.037696158898427,5.196815568332596
up,1w,h1,13,9,32.57943171054893,0.7029728127382039
up,1w,h1,13,10,28.006526856491234,4.73024477005166
up,1w,h2,6,1,-5.6348673840323364,-3.7765310085471033
up,1w,h2,6,2,2.0000552983661435,-0.3609505895816434
up,1w,h2,6,3,-5.178133369519084,-3.55966391068372
up,1w,h2,6,4,3.193704510663045,9.074695828856763
up,1w,h2,6,5,-2.3378122775758006,-4.07508160619069
up,1w,h2,6,6,-1.040325688964147,-9.995894597715457
up,1w,h2,6,7,0.3086747045392026,-5.047026621209249
up,1w,h2,6,8,0.07695777665333559,0.7127623138260466
up,1w,h2,6,9,1.4568203127102315,-5.416536101714389
up,1w,h2,6,10,6.7511474057555425,7.738045335817455
up,5m,h1,284,1,-0.006665550156423675,-0.016049617254664444
up,5m,h1,284,2,0.0009050304906637052,0.0
up,5m,h1,284,3,-0.006805910540073652,-0.009646261797847847
up,5m,h1,284,4,-0.01566733193222306,-0.017819918858447255
up,5m,h1,284,5,-0.009770002150373398,0.008130543014267987
up,5m,h1,284,6,-0.0015684873573362289,-0.02424773075548156
up,5m,h1,284,7,0.014365888210178035,-0.025766396454845256
up,5m,h1,284,8,-0.004876638522584215,-0.005299978800086005
up,5m,h1,284,9,-0.024379539707534283,-0.04012296814412451
up,5m,h1,284,10,-0.053123193748723596,-0.03425161770192836
up,5m,h2,214,1,0.0003822731603298309,-0.050249894918386225
up,5m,h2,214,2,-0.009701165467238038,-0.03686711962345679
up,5m,h2,214,3,0.021198119963914564,-0.02317150289691371
up,5m,h2,214,4,0.04563570059768784,-0.005775480174706931
up,5m,h2,214,5,0.044970403963311034,-0.04684118722584281
up,5m,h2,214,6,0.02893795104615276,-0.06347829248288933
up,5m,h2,214,7,0.007835439535989844,-0.10141141259218306
up,5m,h2,214,8,0.022018222361471718,-0.06608407944958672
up,5m,h2,214,9,0.014952557274433374,-0.05072743084808058
up,5m,h2,214,10,0.05391479597950058,-0.025781775888488324
down,1d,all,46,1,2.4391817216224494,1.463314951965514
down,1d,all,46,2,4.077077756042995,5.045879053317235
down,1d,all,46,3,5.593495414169184,6.022968666160854
down,1d,all,46,4,3.8656645894831474,3.5563969625960654
down,1d,all,46,5,2.4714604442204338,3.0688254026010613
down,1d,all,46,6,2.200333496781966,1.550187152795836
down,1d,all,46,7,-0.035964594016833655,0.12571491591378153
down,1d,all,46,8,2.463170363976565,1.802687609685318
down,1d,all,46,9,4.3703469926236105,3.214369685538486
down,1d,all,46,10,3.108035764362481,3.147075445457357
down,1h,all,494,1,0.29820138645244865,0.20196933541249626
down,1h,all,494,2,0.2855955200360886,0.19963401133709735
down,1h,all,494,3,0.35840242983306475,0.17858389565291266
down,1h,all,494,4,0.2908975433228885,0.3624567136135367
down,1h,all,494,5,0.258371569362719,0.2742617068167293
down,1h,all,494,6,0.173628622480506,0.2517455266585621
down,1h,all,494,7,0.22887950300106014,0.37594978114383837
down,1h,all,494,8,0.25969903758970636,0.11210381974250677
down,1h,all,494,9,0.29221015473242923,0.36895210684001756
down,1h,all,494,10,0.3334916286340775,0.22144046411199714
down,1w,all,3,1,4.166108793612956,8.362198705238773
down,1w,all,3,2,1.133397392512851,0.020305296099006376
down,1w,all,3,3,2.2107003472502487,2.900074054609316
down,1w,all,3,4,2.1525596844899817,2.817658441031042
down,1w,all,3,5,2.7978546409001956,-0.0341821910784559
down,1w,all,3,6,9.338452903640013,2.5373620745844776
down,1w,all,3,7,11.99464165068291,10.23756622799521
down,1w,all,3,8,2.7047492159498048,1.012647410699018
down,1w,all,3,9,2.540095088175413,1.9181526141812848
down,1w,all,3,10,11.455008520264249,11.53221671509144
down,5m,all,425,1,0.03368131038854857,0.048252198155686446
down,5m,all,425,2,0.02290821014578981,0.03773228940665559
down,5m,all,425,3,0.01608617782029341,0.06956867421982936
down,5m,all,425,4,0.025266605385348497,0.06301859048419522
down,5m,all,425,5,0.027156015374484897,0.04979253112033568
down,5m,all,425,6,0.025462858456707756,0.06423982869379259
down,5m,all,425,7,0.04025936823499405,0.05234969596907659
down,5m,all,425,8,0.035249602943755974,0.0896388083311387
down,5m,all,425,9,0.030913887316878122,0.052990475659238756
down,5m,all,425,10,0.022419181362626307,0.0461637891238062
up,1d,all,99,1,-0.21585714336518463,-1.065543303184251
up,1d,all,99,2,1.2852255938442398,-0.4548292160884582
up,1d,all,99,3,3.3028190937432607,-0.13544891640866874
up,1d,all,99,4,3.169902189474315,0.11025191808131457
up,1d,all,99,5,4.423830208813269,0.7833190346525419
up,1d,all,99,6,4.021108073657061,1.1920754214621985
up,1d,all,99,7,4.070481228384119,0.1898919076833187
up,1d,all,99,8,4.381407602727134,1.1299709020368662
up,1d,all,99,9,5.0022337098086105,0.4337654742177664
up,1d,all,99,10,5.618736195736483,-0.2011504393549021
up,1h,all,555,1,0.011736630903062853,-0.06082910064173491
up,1h,all,555,2,-0.11669893491040914,-0.24131580618530676
up,1h,all,555,3,-0.08288579578131026,-0.22331257469962243
up,1h,all,555,4,-0.06342040639980069,-0.20061882423394892
up,1h,all,555,5,0.06157407241866411,-0.20968756552737022
up,1h,all,555,6,0.08484738064721965,-0.1545530492899022
up,1h,all,555,7,0.08234589150240544,-0.1349188917824959
up,1h,all,555,8,0.07306294750964773,-0.1496707244063035
up,1h,all,555,9,0.12024329809516222,-0.10554708572769252
up,1h,all,555,10,0.1552799515243807,0.02909514111143657
up,1w,all,19,1,0.8687422876467968,1.503345473024471
up,1w,all,19,2,8.53228898729018,1.5987210231814548
up,1w,all,19,3,10.306980829092554,-0.7824996757597935
up,1w,all,19,4,10.93411972769843,7.643816426591947
up,1w,all,19,5,8.816267332740486,-2.284838795630163
up,1w,all,19,6,14.622245415685999,5.191899822772324
up,1w,all,19,7,13.631408187657849,-1.5214225492450475
up,1w,all,19,8,19.207989301347347,5.196815568332596
up,1w,all,19,9,22.75123863754723,0.7029728127382039
up,1w,all,19,10,21.294301766785228,4.73024477005166
